spellName,school,subschool,descriptor,spellLevel,castTime,spellComponents,range,area,effect,target,duration,savingThrow,spellResistance,description,reference,domain,shortDescription,materialComponents
Linked Legacy,divination,,,"bard 1, medium 1, mesmerist 1, occultist 1, psychic 1, shaman 1, sorcerer/wizard 1, witch 1",1 round,"V, S",close (25 ft. + 5 ft./2 levels),,,"two willing creatures plus another creature per 6 levels, no two of which can be more than 30 feet apart",10 minutes/level,none,yes,"&lt;p&gt;This spell helps build community and ensure a shared vision for the future. When any of the affected creatures succeeds at a Knowledge check to answer a question within its field of study or identify a monster and its special powers or vulnerabilities, as a free action the affected creature can share any information gained automatically with all targets of the spell. If any of the targets move out of the spell&apos;s range, the spell ceases to function for all of them until they are all within close range of you again.&lt;/p&gt;",Arcane Anthology,,,NULL
Splinter Spell Resistance,transmutation,,,"bloodrager 2, magus 2, occultist 2, psychic 2, shaman 2, sorcerer/wizard 2, witch 2",1 standard action,"V, S",touch,,,melee or thrown weapon or up to 50 pieces of ammunition touched,1 minute/level,Fortitude negates,no,"&lt;p&gt;You create an aura around the target weapon that weakens a foe&apos;s magical defenses. The first time each round the weapon damages a creature with spell resistance, that creature&apos;s spell resistance is reduced by 5 for 1 round. This reduction is not cumulative for multiple attacks within the same round, even if the target is struck by different weapons, each affected by a different casting of &lt;i&gt;splinter spell resistance&lt;/i&gt;. However, the same creature&apos;s spell resistance can be reduced on multiple rounds by subsequent hits.&lt;/p&gt;",Arcane Anthology,,,NULL
Winged Sword,transmutation,,,"bloodrager 2, inquisitor 3, magus 2, occultist 2, paladin 2, sorcerer/wizard 2",1 standard action,"V, S",close (25 ft. + 5 ft./2 levels),,,one melee weapon,10 minutes/level,"Will negates (harmless, object)","yes (harmless, object)","&lt;p&gt;The weapon targeted by this spell grows small feathered wings. For the duration of the spell, the weapon acts as if it had the &lt;i&gt;throwing&lt;/i&gt; weapon special ability. This spell can be used in place of &lt;i&gt;magic stone&lt;/i&gt; as a prerequisite for the &lt;i&gt;throwing&lt;/i&gt; weapon special ability.&lt;/p&gt;",Arcane Anthology,,,NULL
Celestial Healing,conjuration,healing,good,"bloodrager 1, cleric/oracle 1, magus 1, sorcerer/wizard 1, summoner/unchained summoner 1, witch 1",1 round,"V, S, M (1 drop of blood from a good outsider or 1 dose of holy water)",touch,,,creature touched,1 round/2 levels,Will negates (harmless),yes (harmless),"&lt;p&gt;You anoint a wounded creature with the blood of an outsider with the good subtype (such as an angel) or holy water, giving it fast healing 1. The target radiates the aura of a good creature for the duration of the spell and can sense the righteousness of the magic, though this has no long-term effect on the target&apos;s alignment. If the target has its own evil aura, this is not suppressed by celestial healing, and can also be detected normally.&lt;/p&gt;",Arcane Anthology,,,NULL
"Celestial Healing, Greater",conjuration,healing,good,"bloodrager 4, cleric/oracle 4, magus 4, sorcerer/wizard 4, summoner/unchained summoner 4, witch 4",1 round,"V, S, M (1 drop of blood from a good outsider or 1 dose of holy water)",touch,,,creature touched,1 round/2 levels,Will negates (harmless),yes (harmless),"&lt;p&gt;As per &lt;i&gt;celestial healing&lt;/i&gt;, except the target gains fast healing 4 and the target radiates the aura of a good cleric.&lt;/p&gt;",Arcane Anthology,,,NULL
Cyclic Reincarnation,transmutation,,,druid 6,10 minutes,"V, S, M, DF (oils worth 5,000 gp)",touch,,,dead creature touched,instantaneous,"none, see text",yes (harmless),"&lt;p&gt;This spell allows a dead creature that died no more than 1 year before the casting of the spell to return to life in a body that closely resembles its original body; it functions as &lt;i&gt;reincarnate&lt;/i&gt; except as noted. &lt;i&gt;Cyclic reincarnation&lt;/i&gt; returns the dead creature to life in a new body of the same race that the target belonged to in life, and the new body appears physically similar to the creature&apos;s previous one, to the extent that the creature could be easily mistaken for its own offspring or kin. If the affected creature isn&apos;t a humanoid, there is a 75% chance that the creature returns to life as a youth of its race, gaining the young creature simple template instead (or becomes a juvenile, in the case of dragons and other creatures whose power is determined by their age category).  You can use &lt;i&gt;cyclic reincarnation&lt;/i&gt; on someone who was killed by a death effect or turned into an undead creature and then destroyed, but nonhumanoids so restored always return to life with the young creature simple template (or as a juvenile, in the case of creatures whose power is determined by their age category).&lt;/p&gt;",Arcane Anthology,,,5000
Jatembe&apos;s Ire,transmutation,,good,"druid 6, sorcerer/wizard 6",1 standard action,"V, S, M (octopus or squid tentacle)",medium (100 ft. + 10 ft./level),120-ft.-radius spread,,,1 round/level (D),none,no,"&lt;p&gt;The scholars of the Magaambya claim that Old-Mage Jatembe developed this spell to help eradicate the lost city of Ird, although such claims have never been confirmed. This spell causes tall grass, weeds, and other plants to swell into Gargantuan vines  and tendrils that erupt from the ground, reaching for any structure or any creature of evil alignment, functioning like &lt;i&gt;black tentacles&lt;/i&gt; except as noted. When you are determining the tendrils&apos; CMB, the tendrils use your caster level as their base attack bonus and have a +13 bonus due to their Strength. Any tendril that succeeds in grappling a foe deals 4d6+13 points of damage to the grappled creature. Additionally, the tendrils created by this spell can &lt;i&gt;detect evil&lt;/i&gt; auras, as if they had spent 3 rounds observing all creatures and objects within the spell&apos;s area using &lt;i&gt;detect evil&lt;/i&gt;, and attack and impede the movement of only evil creatures, though they also attack any structures in their area. Each structure suffers a single attack each round; your caster level acts as the base attack bonus for these attacks, and the tendrils deal 4d6+13 points of damage on each successful attack. Creatures that lack evil auras are not attacked or impeded by this spell.&lt;/p&gt;",Arcane Anthology,,,NULL
Artificer&apos;s Curse,transmutation,,,"bard 6, cleric/oracle 7, inquisitor 6, occultist 6, shaman 7, sorcerer/wizard 7, witch 7",1 standard action,"V, S, M (a blank scroll or page from a spellbook)",close (25 ft. + 5 ft./2 levels),,,1 magical item,1 minute/level (D),Will negates (object),yes,"&lt;p&gt;You temporarily suppress the most powerful qualities of a magical item. This item can be any object you suspect bears a magical enchantment, but if the targeted item is not magical, your spell has no effect. The spell reduces the object&apos;s caster level by an amount equal to your caster level, to a minimum of 0. If the item grants a competence, deflection, enhancement, insight, luck, morale, natural armor, profane, resistance, or sacred bonus, the bonus is reduced by 1 for every 4 caster levels the item loses. If the item&apos;s caster level is reduced to 0, all its magic qualities are suppressed (as if dispelled) for the duration of the spell. This spell has no effect on artifacts.&lt;/p&gt;",Arcane Anthology,,,NULL
Deft Digits,transmutation,,,"bard 3, medium 3, occultist 3, psychic 3, sorcerer/wizard 3, spiritualist 3, summoner/unchained summoner 3",1 standard action,"V, S",Medium (100 ft. + 10 ft./level),,,1 unattended gauntlet or glove,10 minutes/level,"None (harmless, object)",no,"&lt;p&gt;You animate the target of the spell, manipulating the glove with your own hand from a distance. The glove moves as you direct it with a fly speed of 30 feet and average maneuverability. Directing the glove is a standard action, though the glove can move up to its speed and perform a task in the same action. You can attempt Disable Device and Sleight of Hand checks using the glove, though attempting these checks at a distance increases the normal skill check DCs by 5, or by 20 if you do not have line of sight to the object you are manipulating. The glove can also lift or drag objects using your caster level as your Strength score. The glove cannot wield weapons or make attacks effectively while this spell is in effect. If you cast this spell on a magical glove, its innate magic is suppressed for the duration of the spell.&lt;/p&gt;",Arcane Anthology,,,NULL
Dissolution,transmutation,,,"alchemist 4, sorcerer/wizard 5, spiritualist 6, summoner/unchained summoner 6",1 standard action,"V, S, M (vial of alchemical reagents worth 50 gp)",touch,,,Tiny or smaller object touched,10 minutes/level (D),Fortitude negates (object),no,"&lt;p&gt;You touch a Tiny or smaller item, causing the item to vanish as if it did not exist at all. The item doesn&apos;t take damage or otherwise gain any condition; it simply ceases to be visible to or interact with the world in any way, as if it no longer existed. The oil vanishes with the item and leaves no residue, nor does it affect surfaces that handle or hold the item during its application. No spell or ability short of &lt;i&gt;miracle&lt;/i&gt; or &lt;i&gt;wish&lt;/i&gt; can locate or affect the item  while it is under the effect of this spell. Though the item seems to not exist while under the effects of this spell, its own reality is consistent (it ages normally, and any ongoing effects upon it continue normally). The target object can be one size larger than Tiny for every 5 caster levels above 5th you possess.  The target item returns to existence when the spell&apos;s duration expires. An item returns to existence in exactly the same location and condition it left. If the location no longer has room for the item, the item takes 1d0 points of damage (bypassing hardness) and is teleported to the nearest location that has room for it. If that location is more than 5 feet from the original location, there is a 25% chance the item is instead shifted to a randomly determined alternate plane.&lt;/p&gt;",Arcane Anthology,,,50
Emblem Of Greed,transmutation,polymorph,,"cleric/oracle 6, inquisitor 6, magus 6, medium 6, shaman 7, sorcerer/wizard 6",1 standard action,"V, S, M (a masterwork or magical melee weapon)",touch,,,1 masterwork melee weapon touched,1 minute/level,none (object),no,"&lt;p&gt;You transform one melee weapon into a burning glaive similar to the ones wielded by the runelords of old. The target of your spell must be a masterwork or magical melee weapon appropriate to your size. The weapon becomes a glaive appropriate to your size and has a +1 enhancement bonus and the &lt;i&gt;flaming&lt;/i&gt; weapon special ability. When wielding the glaive, you are considered proficient with it and use your caster level as your base attack bonus (which may give you multiple attacks). When you reach caster level 14th, the glaive gains the &lt;i&gt;spell-storing&lt;/i&gt; weapon special ability. When you reach caster level 17th, it loses the &lt;i&gt;flaming&lt;/i&gt; weapon special ability, and gains the &lt;i&gt;flaming&lt;/i&gt; burst weapon special ability. The glaive&apos;s enhancement bonus increases to +2 at caster level 15th, and +3 at caster level 19th.  If this spell is cast on a magic weapon, the powers of the spell supersede any that the weapon normally has, rendering the normal enhancement bonus and powers of the weapon inoperative for the duration of the spell. This spell is not cumulative with &lt;i&gt;greater magic weapon&lt;/i&gt; or any other spell that might modify the weapon in any way. This spell does not work on artifacts. A masterwork weapon&apos;s bonus on attack rolls does not stack with an enhancement bonus to attack.&lt;/p&gt;",Arcane Anthology,,,NULL
